surface_m2,nb_etages,annee_construction,occupation_h_j,altitude_m,type_batiment,isolation,vitrage,chauffage,orientation,conso_kwh_m2,conso_totale_kwh,label_dpe
409,14,2016,4,211,commercial,tres_fort,double,gaz,O,25.7,10511,A
302,2,1995,22,175,residentiel,fort,simple,pompe_chaleur,O,77.9,23526,B
273,1,1948,22,90,bureau,moyen,triple,fioul,NE,95.4,26044,C
691,6,1936,7,119,commercial,faible,double,fioul,S,103.3,71380,C
633,13,2021,7,19,residentiel,tres_fort,simple,pompe_chaleur,S,31.4,19876,A
225,9,1934,22,63,residentiel,moyen,simple,pompe_chaleur,SO,119.7,26932,C
156,7,2014,12,14,commercial,moyen,simple,elec,NO,49.8,7769,A
330,4,2017,19,106,bureau,tres_fort,simple,gaz,E,35.9,11847,A
155,4,1924,22,14,bureau,faible,simple,fioul,SE,162.1,25126,D
455,10,2003,14,0,industriel,moyen,simple,elec,SE,45.2,20566,A
329,8,1981,5,571,bureau,moyen,triple,elec,NO,44.6,14673,A
1586,9,1960,16,182,residentiel,moyen,triple,pompe_chaleur,NO,76.3,121012,B
686,6,1972,6,194,residentiel,moyen,double,gaz,SO,75.5,51793,B
115,5,1964,17,151,residentiel,moyen,double,pompe_chaleur,SE,88.1,10132,B
170,3,2004,15,102,residentiel,faible,double,pompe_chaleur,E,86.0,14620,B
64,5,1962,12,251,commercial,faible,double,gaz,NO,125.6,8038,C
55,4,1933,13,460,commercial,faible,triple,gaz,S,82.5,4538,B
265,7,1961,23,369,residentiel,tres_fort,double,pompe_chaleur,NE,77.7,20590,B
106,5,1974,11,556,residentiel,fort,double,gaz,N,66.3,7028,B
772,12,1966,20,101,commercial,moyen,triple,bois,S,87.3,67396,B
550,8,1972,20,137,residentiel,moyen,double,gaz,NO,75.2,41360,B
202,5,2022,23,8,bureau,fort,simple,gaz,E,59.6,12039,B
194,2,1961,21,34,bureau,faible,simple,gaz,S,131.1,25433,C
692,2,2005,16,194,bureau,moyen,double,pompe_chaleur,SO,50.2,34738,B
813,2,2023,23,1,residentiel,fort,simple,elec,SO,82.7,67235,B
127,5,2006,18,26,bureau,moyen,simple,pompe_chaleur,S,67.0,8509,B
116,5,1976,6,103,residentiel,fort,simple,bois,NE,68.8,7981,B
198,1,2022,5,122,bureau,tres_fort,double,elec,E,32.6,6455,A
331,10,1962,17,377,residentiel,fort,triple,gaz,SE,48.5,16054,A
171,8,1949,14,358,bureau,faible,double,gaz,NO,121.9,20845,C
336,14,2009,21,7,bureau,faible,simple,fioul,O,100.0,33600,C
958,13,2015,14,439,residentiel,faible,double,gaz,SO,73.5,70413,B
91,1,1934,8,243,residentiel,fort,double,fioul,NO,75.9,6907,B
179,10,1953,21,29,residentiel,tres_fort,double,fioul,S,83.4,14929,B
93,14,1949,13,108,residentiel,tres_fort,double,elec,O,68.3,6352,B
136,12,2005,23,292,residentiel,moyen,simple,elec,SE,89.5,12172,B
199,10,1949,4,113,industriel,fort,double,bois,NE,68.9,13711,B
147,2,1988,4,158,residentiel,moyen,simple,pompe_chaleur,N,80.8,11878,B
352,13,2017,6,210,commercial,fort,double,pompe_chaleur,SE,24.4,8589,A
272,12,2014,23,291,industriel,moyen,triple,elec,O,52.9,14389,B
302,8,2011,6,21,residentiel,faible,triple,elec,S,41.2,12442,A
197,13,1975,18,47,bureau,faible,simple,gaz,SE,108.3,21335,C
211,7,1983,18,506,commercial,tres_fort,double,fioul,SO,45.0,9495,A
191,8,1995,21,110,bureau,moyen,double,elec,NE,82.8,15815,B
206,11,1953,16,649,residentiel,moyen,triple,pompe_chaleur,NO,80.6,16604,B
328,11,1972,4,285,residentiel,moyen,double,gaz,S,68.5,22468,B
64,8,1968,4,796,residentiel,moyen,double,fioul,NO,75.0,4800,B
299,11,2003,4,597,bureau,tres_fort,simple,elec,SO,34.0,10166,A
133,13,1979,15,97,industriel,faible,simple,pompe_chaleur,S,100.8,13406,C
193,10,1966,12,149,industriel,faible,double,gaz,SO,95.2,18374,C
82,13,1976,5,156,residentiel,fort,double,fioul,N,31.2,2558,A
190,6,1937,4,50,commercial,moyen,simple,pompe_chaleur,O,106.7,20273,C
297,8,1946,8,296,residentiel,faible,triple,elec,N,118.0,35046,C
337,10,2003,13,54,industriel,faible,double,gaz,O,82.5,27802,B
107,9,1933,22,89,residentiel,moyen,triple,gaz,NO,105.0,11235,C
326,3,1990,20,379,industriel,moyen,double,gaz,SE,73.8,24059,B
543,7,2014,12,37,commercial,faible,triple,gaz,S,53.2,28888,B
173,2,1991,9,8,residentiel,moyen,double,elec,SO,71.1,12300,B
245,10,1986,19,11,residentiel,fort,simple,elec,SO,71.7,17566,B
58,12,1994,22,649,commercial,tres_fort,simple,elec,N,75.2,4362,B
131,10,1935,10,32,residentiel,tres_fort,triple,pompe_chaleur,SO,57.8,7572,B
296,13,1934,13,69,bureau,moyen,simple,elec,SO,123.9,36674,C
478,10,2022,6,11,industriel,moyen,double,gaz,N,41.5,19837,A
161,6,1964,6,201,bureau,tres_fort,double,fioul,N,44.9,7229,A
1585,1,1962,21,84,residentiel,fort,simple,elec,NO,87.3,138370,B
305,1,1936,8,84,residentiel,moyen,simple,pompe_chaleur,O,113.5,34618,C
100,14,1996,7,32,residentiel,moyen,double,fioul,E,53.4,5340,B
602,11,1923,10,101,industriel,moyen,double,pompe_chaleur,O,107.2,64534,C
102,5,1938,10,34,residentiel,moyen,double,elec,E,105.4,10751,C
308,14,1943,8,149,residentiel,moyen,simple,elec,SO,82.0,25256,B
128,4,2017,18,251,residentiel,faible,double,pompe_chaleur,S,55.1,7053,B
95,11,2018,15,26,industriel,tres_fort,simple,pompe_chaleur,N,45.5,4322,A
480,3,1928,15,122,residentiel,fort,double,gaz,SE,87.5,42000,B
204,10,1934,23,292,commercial,fort,simple,elec,SE,106.7,21767,C
819,1,2019,22,261,commercial,moyen,simple,fioul,SO,59.6,48812,B
120,10,1985,9,193,commercial,fort,triple,pompe_chaleur,SO,50.2,6024,B
82,7,1995,23,30,industriel,fort,simple,gaz,N,97.5,7995,C
175,9,1979,17,220,commercial,faible,double,elec,SE,93.5,16362,C
1851,1,1943,6,22,industriel,fort,double,elec,E,57.3,106062,B
439,6,1995,10,241,residentiel,fort,simple,gaz,O,58.0,25462,B
361,3,1938,8,49,commercial,fort,double,pompe_chaleur,O,68.7,24801,B
369,9,1923,19,28,bureau,moyen,triple,elec,SO,108.3,39963,C
174,1,2007,16,315,bureau,tres_fort,double,gaz,NE,51.8,9013,B
1653,13,1959,19,292,commercial,moyen,simple,gaz,S,104.3,172408,C
337,3,1924,6,115,industriel,faible,double,fioul,N,126.7,42698,C
316,8,1965,14,76,commercial,faible,double,fioul,NE,97.6,30842,C
488,14,1931,14,338,bureau,faible,double,pompe_chaleur,SE,149.9,73151,C
100,6,1968,17,2,bureau,moyen,triple,fioul,NO,84.1,8410,B
132,8,1989,11,13,residentiel,moyen,double,bois,SO,61.9,8171,B
206,14,1955,5,493,residentiel,fort,double,elec,N,61.5,12669,B
490,1,1928,21,79,residentiel,faible,double,gaz,O,153.1,75019,D
99,8,2012,12,60,residentiel,tres_fort,triple,pompe_chaleur,NE,20.0,1980,A
233,8,1976,22,242,residentiel,faible,double,elec,SE,98.9,23044,C
211,11,1922,12,629,commercial,fort,simple,gaz,E,96.1,20277,C
81,9,1979,9,202,residentiel,tres_fort,triple,bois,NO,37.1,3005,A
171,7,2016,13,152,industriel,fort,triple,gaz,S,37.7,6447,A
358,8,1921,5,333,bureau,fort,double,fioul,NE,90.2,32292,C
87,4,2001,15,85,residentiel,fort,double,elec,SE,48.6,4228,A
657,5,1959,23,45,residentiel,faible,double,gaz,SE,119.7,78643,C
340,14,1993,9,50,residentiel,faible,triple,fioul,O,69.6,23664,B
312,10,1922,6,34,industriel,moyen,double,pompe_chaleur,O,83.3,25990,B
246,10,2014,6,13,residentiel,faible,double,elec,SO,56.4,13874,B
114,2,2020,7,48,bureau,moyen,double,elec,NE,36.9,4207,A
155,6,1977,11,33,industriel,moyen,double,gaz,E,77.1,11950,B
315,4,1942,9,65,industriel,tres_fort,simple,gaz,E,59.9,18868,B
155,14,1935,18,204,residentiel,tres_fort,double,gaz,NO,70.5,10928,B
279,14,1991,10,28,residentiel,fort,simple,gaz,NO,64.9,18107,B
130,5,2002,11,166,residentiel,fort,double,gaz,NE,57.3,7449,B
336,6,1990,6,90,residentiel,faible,triple,elec,S,81.3,27317,B
354,10,1971,15,86,residentiel,faible,double,gaz,S,111.6,39506,C
78,3,2000,10,54,bureau,fort,double,elec,S,40.9,3190,A
256,8,1996,18,83,industriel,fort,triple,gaz,N,51.0,13056,B
84,4,1954,4,429,bureau,moyen,simple,gaz,O,94.9,7972,C
67,8,2000,16,93,bureau,moyen,triple,fioul,O,76.9,5152,B
161,11,1939,20,243,residentiel,moyen,simple,bois,O,135.8,21864,C
1733,11,2005,18,32,commercial,moyen,double,pompe_chaleur,SO,58.5,101380,B
421,2,1975,9,15,bureau,moyen,double,gaz,S,71.8,30228,B
648,5,1997,17,0,commercial,moyen,double,pompe_chaleur,SE,70.5,45684,B
375,5,1992,20,188,industriel,fort,double,gaz,S,74.4,27900,B
283,11,1929,14,42,residentiel,tres_fort,simple,elec,NE,77.3,21876,B
458,5,1998,16,91,residentiel,moyen,double,fioul,SE,69.1,31648,B
156,7,2001,20,314,residentiel,fort,simple,gaz,SE,54.9,8564,B
340,4,1925,13,63,residentiel,fort,double,fioul,NE,91.5,31110,C
558,5,1943,6,25,industriel,faible,double,pompe_chaleur,S,97.8,54572,C
399,7,1998,23,95,residentiel,fort,double,gaz,O,72.1,28768,B
584,3,1957,10,60,commercial,moyen,simple,gaz,O,92.1,53786,C
278,2,1931,11,167,bureau,fort,double,pompe_chaleur,SE,67.1,18654,B
800,2,2008,16,376,residentiel,faible,double,elec,O,89.2,71360,B
212,7,1974,7,266,residentiel,tres_fort,double,gaz,SE,37.8,8014,A
1077,3,1960,10,91,bureau,tres_fort,double,gaz,SO,21.9,23586,A
366,1,1977,15,24,bureau,faible,simple,bois,N,118.3,43298,C
187,12,1961,18,546,residentiel,moyen,simple,gaz,SO,101.6,18999,C
107,14,1933,6,154,residentiel,faible,double,bois,NE,138.1,14777,C
139,8,1978,20,562,commercial,fort,simple,pompe_chaleur,NE,71.8,9980,B
125,9,2020,9,208,residentiel,fort,simple,gaz,E,63.1,7888,B
230,3,2018,22,6,industriel,faible,double,gaz,E,92.1,21183,C
100,2,1986,22,521,residentiel,fort,double,pompe_chaleur,NE,73.7,7370,B
605,2,1936,18,56,residentiel,moyen,simple,elec,S,115.6,69938,C
264,3,1943,21,2,bureau,moyen,simple,gaz,NO,118.7,31337,C
257,2,1952,7,83,bureau,moyen,double,gaz,NO,85.6,21999,B
108,11,1925,13,92,bureau,moyen,double,fioul,N,99.7,10768,C
143,11,1934,6,52,residentiel,moyen,double,pompe_chaleur,S,84.3,12055,B
52,11,2000,13,2,industriel,moyen,double,elec,NE,54.3,2824,B
759,5,1964,15,134,bureau,moyen,double,gaz,NO,96.4,73168,C
91,6,2007,15,202,bureau,tres_fort,triple,elec,E,44.7,4068,A
96,6,1926,5,118,residentiel,moyen,double,pompe_chaleur,SO,83.9,8054,B
658,3,1929,5,228,residentiel,tres_fort,simple,gaz,NE,57.8,38032,B
321,7,1991,23,7,bureau,fort,double,bois,NE,66.6,21379,B
266,8,1946,9,584,residentiel,fort,simple,fioul,N,84.5,22477,B
311,3,1943,13,276,bureau,moyen,double,gaz,NO,85.9,26715,B
477,4,1986,15,1,residentiel,fort,triple,fioul,SE,59.0,28143,B
262,7,2014,7,238,industriel,moyen,double,pompe_chaleur,S,45.0,11790,A
83,2,1963,10,119,bureau,faible,simple,pompe_chaleur,NE,121.3,10068,C
409,9,1999,16,190,commercial,faible,double,gaz,N,95.5,39060,C
329,5,1955,8,606,bureau,faible,triple,fioul,S,93.2,30663,C
556,10,2007,19,348,residentiel,tres_fort,simple,elec,N,47.5,26410,A
102,11,1964,16,61,commercial,tres_fort,double,pompe_chaleur,SE,67.6,6895,B
147,6,1935,23,64,bureau,fort,triple,gaz,SO,55.0,8085,B
322,5,1972,15,24,commercial,faible,double,gaz,N,119.6,38511,C
126,8,1950,20,72,residentiel,tres_fort,double,bois,NO,68.8,8669,B
47,1,1939,10,268,bureau,fort,double,elec,NE,83.9,3943,B
281,3,1939,17,48,commercial,moyen,double,gaz,NO,120.6,33889,C
458,2,1960,22,55,bureau,moyen,double,pompe_chaleur,NE,98.5,45113,C
224,4,1921,20,49,residentiel,fort,simple,gaz,SO,100.0,22400,C
359,9,1927,19,109,bureau,faible,double,fioul,N,155.0,55645,D
325,4,1981,13,25,bureau,moyen,triple,fioul,S,48.9,15892,A
246,8,1920,15,17,industriel,fort,double,gaz,S,80.2,19729,B
269,10,2000,15,275,residentiel,faible,double,elec,SE,78.2,21036,B
629,10,2021,8,6,residentiel,moyen,simple,bois,N,39.1,24594,A
125,8,1939,9,34,commercial,moyen,simple,fioul,N,103.2,12900,C
420,9,1925,16,30,bureau,fort,double,elec,NO,95.9,40278,C
107,7,1941,16,327,commercial,tres_fort,simple,pompe_chaleur,O,81.8,8753,B
140,7,1924,17,80,bureau,fort,double,elec,NO,89.0,12460,B
565,12,1947,16,280,residentiel,fort,double,gaz,E,81.5,46048,B
105,7,2012,15,366,commercial,fort,triple,pompe_chaleur,N,45.6,4788,A
207,5,2005,14,429,residentiel,fort,double,gaz,NE,37.5,7762,A
1278,14,2021,16,26,residentiel,moyen,double,gaz,N,48.3,61727,A
502,13,2004,11,35,bureau,faible,double,elec,O,86.1,43222,B
146,13,2007,7,112,commercial,fort,double,fioul,SO,47.8,6979,A
165,12,1981,17,254,commercial,fort,simple,gaz,S,62.5,10312,B
217,6,1934,10,252,residentiel,moyen,triple,gaz,S,88.6,19226,B
613,14,1999,19,28,residentiel,tres_fort,double,gaz,SO,37.6,23049,A
121,10,1986,21,139,industriel,fort,simple,gaz,E,74.8,9051,B
116,13,2020,11,2,residentiel,moyen,double,bois,E,49.4,5730,A
403,1,1992,6,167,residentiel,faible,double,elec,NO,75.7,30507,B
75,2,1976,4,142,residentiel,faible,double,gaz,S,75.7,5678,B
129,1,2000,15,317,bureau,moyen,triple,bois,N,63.0,8127,B
231,14,1988,21,89,commercial,moyen,double,gaz,SE,88.2,20374,B
239,5,1931,21,22,commercial,faible,simple,elec,SO,154.7,36973,D
94,1,1983,21,106,commercial,faible,double,pompe_chaleur,SO,106.4,10002,C
313,11,1960,4,336,residentiel,moyen,simple,pompe_chaleur,N,96.6,30236,C
361,12,1936,5,148,residentiel,fort,double,gaz,NE,62.1,22418,B
154,13,1948,23,23,bureau,fort,simple,pompe_chaleur,SE,90.3,13906,C
783,9,2006,17,106,residentiel,moyen,double,elec,SE,55.2,43222,B
310,10,1988,21,32,residentiel,faible,double,pompe_chaleur,E,126.0,39060,C
121,9,1926,23,140,residentiel,faible,double,gaz,O,174.4,21102,D
761,10,1955,18,36,residentiel,faible,simple,pompe_chaleur,S,138.3,105246,C
170,8,1991,12,57,bureau,moyen,simple,elec,S,84.7,14399,B
277,1,1972,18,129,commercial,faible,triple,pompe_chaleur,O,92.7,25678,C
174,3,2000,16,223,residentiel,moyen,double,fioul,S,64.5,11223,B
379,14,1985,21,3,bureau,tres_fort,double,fioul,SO,46.1,17472,A
175,1,1923,21,51,commercial,moyen,double,pompe_chaleur,N,103.4,18095,C
182,2,2010,7,17,commercial,fort,triple,gaz,NE,28.4,5169,A
219,12,1979,21,82,commercial,faible,double,gaz,NE,109.2,23915,C
172,14,2015,17,264,residentiel,moyen,triple,elec,N,62.4,10733,B
518,7,1942,18,41,commercial,tres_fort,simple,gaz,O,83.1,43046,B
101,2,1992,10,179,residentiel,moyen,triple,pompe_chaleur,SO,49.9,5040,A
238,9,1923,13,22,residentiel,fort,simple,pompe_chaleur,N,86.3,20539,B
261,1,1936,21,483,residentiel,tres_fort,double,elec,S,66.3,17304,B
224,6,2011,6,219,bureau,fort,simple,gaz,S,54.0,12096,B
482,8,2012,14,104,residentiel,moyen,triple,fioul,N,59.9,28872,B
85,13,2019,23,415,residentiel,moyen,triple,elec,SO,76.1,6468,B
364,2,1941,19,517,commercial,faible,double,elec,N,160.4,58386,D
102,9,2012,6,71,residentiel,faible,double,elec,E,55.4,5651,B
171,1,1925,7,173,residentiel,faible,double,gaz,SE,136.7,23376,C
95,7,1961,14,80,residentiel,tres_fort,simple,pompe_chaleur,SO,49.5,4702,A
194,10,1965,8,5,residentiel,fort,double,gaz,S,64.1,12435,B
163,1,2002,21,839,residentiel,moyen,simple,elec,E,97.9,15958,C
770,11,1991,20,55,residentiel,moyen,triple,gaz,S,46.5,35805,A
290,14,1957,23,3,residentiel,fort,triple,gaz,S,76.6,22214,B
333,5,1935,11,10,commercial,tres_fort,simple,gaz,SO,53.3,17749,B
113,11,1957,9,73,industriel,moyen,double,gaz,E,79.5,8984,B
411,8,1951,14,105,bureau,moyen,triple,fioul,NE,74.4,30578,B
770,13,1989,6,110,bureau,tres_fort,triple,pompe_chaleur,S,35.5,27335,A
450,9,1928,18,67,commercial,tres_fort,double,gaz,E,66.4,29880,B
98,12,1962,21,31,industriel,tres_fort,simple,gaz,E,62.0,6076,B
177,3,1984,7,141,bureau,moyen,simple,pompe_chaleur,NE,66.8,11824,B
264,4,1987,7,137,commercial,faible,double,gaz,SO,76.6,20222,B
163,7,1993,10,76,industriel,moyen,double,elec,S,63.3,10318,B
1441,13,1949,20,80,commercial,moyen,double,gaz,NO,117.7,169606,C
175,9,1974,10,82,bureau,tres_fort,double,elec,O,52.2,9135,B
237,3,1930,18,356,residentiel,faible,double,bois,SE,149.6,35455,C
161,13,1966,22,82,residentiel,fort,simple,gaz,E,98.3,15826,C
288,9,2022,12,437,bureau,tres_fort,double,bois,O,46.9,13507,A
644,6,2008,6,48,bureau,tres_fort,triple,fioul,NE,37.4,24086,A
265,6,1984,22,46,residentiel,fort,double,bois,O,99.9,26474,C
210,10,1963,11,51,bureau,tres_fort,simple,pompe_chaleur,SE,60.7,12747,B
115,13,2013,15,12,bureau,faible,triple,fioul,N,69.0,7935,B
570,8,1965,23,597,commercial,moyen,double,elec,E,99.7,56829,C
221,12,1999,21,85,residentiel,faible,double,fioul,S,95.3,21061,C
215,10,1980,20,280,residentiel,tres_fort,triple,gaz,S,64.1,13781,B
48,2,1922,11,107,commercial,tres_fort,double,pompe_chaleur,N,51.2,2458,B
224,12,1993,17,114,commercial,faible,triple,elec,E,95.3,21347,C
185,8,2012,10,146,industriel,faible,triple,gaz,S,49.6,9176,A
68,8,2000,14,260,commercial,moyen,double,gaz,SE,60.6,4121,B
489,9,1983,10,205,commercial,moyen,double,gaz,NE,75.9,37115,B
168,1,1924,20,91,residentiel,fort,double,elec,SE,85.3,14330,B
922,13,1922,19,202,residentiel,faible,double,gaz,SO,155.7,143555,D
659,13,2008,22,55,residentiel,fort,double,gaz,SE,48.6,32027,A
148,14,1969,9,49,bureau,fort,double,gaz,O,68.0,10064,B
638,9,1966,22,102,industriel,moyen,triple,elec,SO,84.3,53783,B
755,4,1986,8,181,residentiel,faible,double,gaz,O,86.6,65383,B
165,9,2014,16,79,bureau,tres_fort,double,gaz,SE,43.4,7161,A
119,4,1965,7,65,residentiel,fort,double,gaz,S,52.2,6212,B
54,8,1975,18,106,residentiel,moyen,double,elec,SO,87.2,4709,B
319,12,1978,19,15,residentiel,moyen,simple,gaz,E,96.2,30688,C
124,3,1969,19,280,residentiel,tres_fort,double,bois,NO,61.6,7638,B
326,7,1988,9,102,industriel,fort,double,gaz,E,34.2,11149,A
164,7,1940,20,193,residentiel,fort,simple,gaz,S,109.1,17892,C
142,14,1958,7,47,commercial,fort,double,elec,E,48.7,6915,A
165,8,1968,18,6,bureau,tres_fort,double,fioul,NE,77.9,12854,B
99,5,1974,13,68,residentiel,moyen,double,elec,N,77.6,7682,B
165,6,1971,7,4,residentiel,fort,triple,gaz,S,53.6,8844,B
146,5,1963,23,31,commercial,moyen,double,elec,SO,107.9,15753,C
242,3,2013,19,10,residentiel,fort,double,elec,N,67.7,16383,B
263,10,2003,6,118,industriel,tres_fort,double,elec,NO,32.9,8653,A
116,11,2012,11,4,residentiel,tres_fort,simple,bois,E,29.2,3387,A
529,3,1981,18,263,bureau,moyen,double,bois,E,83.6,44224,B
219,7,1970,7,298,commercial,fort,simple,elec,E,61.9,13556,B
700,11,1964,13,85,residentiel,tres_fort,simple,gaz,O,60.0,42000,B
290,10,2010,6,301,residentiel,tres_fort,double,elec,NO,20.0,5800,A
257,2,1989,4,44,industriel,fort,simple,bois,SE,41.6,10691,A
174,1,2008,8,476,residentiel,faible,triple,fioul,E,30.7,5342,A
376,1,2008,18,82,residentiel,moyen,double,gaz,S,61.2,23011,B
251,8,2018,14,102,residentiel,tres_fort,double,gaz,N,42.8,10743,A
446,13,1976,10,55,residentiel,fort,triple,gaz,NO,42.5,18955,A
752,2,1957,8,399,commercial,fort,double,pompe_chaleur,SO,56.2,42262,B
147,10,2014,20,456,commercial,fort,double,elec,N,63.2,9290,B
376,11,1942,17,37,residentiel,moyen,double,gaz,NE,114.6,43090,C
369,14,1953,21,235,commercial,moyen,triple,gaz,S,97.7,36051,C
337,9,2018,23,39,residentiel,fort,simple,gaz,S,65.3,22006,B
181,14,1994,16,92,residentiel,moyen,simple,fioul,SE,77.4,14009,B
183,7,1980,4,60,bureau,fort,triple,elec,E,42.6,7796,A
163,4,1975,22,102,industriel,fort,simple,gaz,E,104.7,17066,C
160,14,1968,6,70,residentiel,fort,double,pompe_chaleur,N,59.8,9568,B
136,8,2013,18,307,residentiel,moyen,double,elec,SO,65.1,8854,B
227,5,1962,8,122,bureau,fort,double,pompe_chaleur,SO,66.3,15050,B
144,10,1969,19,60,commercial,faible,double,pompe_chaleur,SO,113.2,16301,C
332,6,1928,20,36,residentiel,faible,triple,gaz,S,115.2,38246,C
255,11,1931,19,367,residentiel,moyen,simple,gaz,S,131.0,33405,C
275,11,1941,9,57,commercial,faible,double,gaz,SO,120.2,33055,C
202,1,1951,16,21,residentiel,tres_fort,double,pompe_chaleur,NE,61.0,12322,B
257,8,1950,7,363,residentiel,tres_fort,double,fioul,E,55.6,14289,B
206,12,1989,21,91,residentiel,faible,triple,gaz,N,73.7,15182,B
422,10,1977,7,139,residentiel,fort,double,pompe_chaleur,SE,42.6,17977,A
180,11,1920,20,121,bureau,moyen,simple,pompe_chaleur,SE,125.4,22572,C
318,14,1973,6,166,commercial,fort,triple,bois,N,37.4,11893,A
98,5,1928,9,164,bureau,tres_fort,triple,elec,O,49.0,4802,A
403,10,1976,18,20,bureau,fort,simple,gaz,O,70.0,28210,B
165,1,1925,23,202,industriel,faible,double,pompe_chaleur,O,177.3,29255,D
129,3,1927,18,159,residentiel,faible,simple,pompe_chaleur,E,178.4,23014,D
110,10,2005,10,266,residentiel,moyen,simple,pompe_chaleur,E,58.4,6424,B
104,3,1921,10,14,industriel,tres_fort,double,fioul,E,44.2,4597,A
175,12,2021,16,4,residentiel,fort,triple,gaz,SO,34.6,6055,A
699,13,1968,12,307,commercial,moyen,simple,pompe_chaleur,SO,86.3,60324,B
156,13,2005,8,85,commercial,faible,simple,gaz,N,75.6,11794,B
52,1,1940,16,31,residentiel,tres_fort,double,elec,NO,91.8,4774,C
316,5,1968,12,105,bureau,moyen,double,gaz,NE,65.3,20635,B
112,8,2012,23,557,residentiel,fort,simple,gaz,E,73.4,8221,B
433,1,1928,4,309,residentiel,fort,simple,gaz,S,73.8,31955,B
182,13,1964,18,18,bureau,moyen,double,pompe_chaleur,SE,86.0,15652,B
202,14,1932,19,165,residentiel,faible,double,fioul,E,128.7,25997,C
566,11,1956,20,146,commercial,moyen,double,gaz,S,96.5,54619,C
377,4,2020,18,32,industriel,moyen,simple,elec,SO,65.1,24543,B
102,2,1976,23,548,commercial,fort,double,gaz,SO,84.2,8588,B
113,12,1954,10,35,residentiel,fort,double,elec,O,71.7,8102,B
70,11,1985,11,217,residentiel,moyen,double,gaz,O,83.4,5838,B
1514,14,1949,22,44,residentiel,moyen,simple,elec,O,102.4,155034,C
134,6,1928,5,126,residentiel,faible,double,fioul,S,120.2,16107,C
555,3,1978,20,91,industriel,moyen,double,elec,N,114.6,63603,C
169,13,1997,18,172,residentiel,fort,simple,pompe_chaleur,E,80.4,13588,B
115,2,1938,15,373,residentiel,fort,triple,pompe_chaleur,O,57.9,6658,B
248,9,1934,6,88,commercial,fort,double,gaz,S,64.1,15897,B
195,7,1982,16,137,residentiel,faible,double,gaz,N,92.5,18038,C
429,8,1960,12,3,residentiel,fort,simple,gaz,SO,67.2,28829,B
433,6,2017,5,1,residentiel,moyen,double,elec,SO,57.1,24724,B
162,1,1957,18,88,bureau,tres_fort,double,fioul,E,74.8,12118,B
89,9,1960,20,32,commercial,fort,triple,elec,NE,56.8,5055,B
106,4,1979,15,247,residentiel,tres_fort,double,elec,S,42.0,4452,A
50,2,2021,7,199,industriel,faible,double,gaz,SO,51.9,2595,B
202,6,1991,11,283,commercial,moyen,double,gaz,SE,60.4,12201,B
243,5,1989,14,84,commercial,fort,double,fioul,S,57.7,14021,B
110,11,2003,14,108,residentiel,moyen,triple,gaz,S,44.7,4917,A
101,6,2004,15,25,residentiel,fort,double,pompe_chaleur,E,51.5,5202,B
242,8,1974,8,28,commercial,moyen,double,gaz,N,63.6,15391,B
157,7,1949,19,436,residentiel,tres_fort,triple,gaz,E,60.2,9451,B
211,12,1936,5,477,bureau,faible,triple,gaz,NO,108.1,22809,C
189,2,1978,23,56,commercial,tres_fort,simple,fioul,NO,75.8,14326,B
291,1,1992,12,90,residentiel,moyen,simple,gaz,N,70.5,20516,B
165,13,1958,20,19,commercial,moyen,double,pompe_chaleur,E,111.7,18430,C
174,5,1969,5,245,industriel,moyen,triple,gaz,SE,64.0,11136,B
66,11,1966,17,131,commercial,moyen,double,elec,SE,86.3,5696,B
236,9,1981,23,182,residentiel,tres_fort,double,elec,NE,64.7,15269,B
260,11,2005,23,204,commercial,tres_fort,double,elec,NO,78.3,20358,B
216,10,1966,12,34,bureau,tres_fort,simple,gaz,S,69.3,14969,B
933,4,1974,11,82,commercial,tres_fort,simple,gaz,SE,34.0,31722,A
274,8,1963,21,28,commercial,fort,simple,fioul,O,102.4,28058,C
219,5,1951,16,180,commercial,moyen,simple,elec,NO,129.5,28360,C
347,6,1992,23,115,residentiel,tres_fort,double,gaz,E,70.4,24429,B
1074,8,1984,8,279,residentiel,faible,double,elec,S,78.9,84739,B
292,2,1974,12,382,residentiel,fort,simple,gaz,NE,68.5,20002,B
52,1,1950,10,129,bureau,moyen,double,elec,NE,105.9,5507,C
331,10,2010,12,12,bureau,fort,double,elec,NE,56.0,18536,B
132,2,2003,21,98,bureau,moyen,double,gaz,SE,77.5,10230,B
64,13,1997,21,99,residentiel,moyen,double,elec,SE,98.7,6317,C
803,9,2004,15,129,commercial,faible,simple,elec,E,84.8,68094,B
690,12,1969,4,60,industriel,moyen,double,fioul,O,66.9,46161,B
130,7,1985,12,94,residentiel,moyen,simple,pompe_chaleur,N,84.2,10946,B
130,10,1942,13,279,commercial,moyen,simple,elec,SE,106.4,13832,C
274,3,2001,18,153,bureau,moyen,simple,pompe_chaleur,S,58.2,15947,B
132,9,1921,9,49,bureau,fort,double,gaz,N,88.5,11682,B
223,5,1972,15,14,residentiel,moyen,simple,pompe_chaleur,NE,88.1,19646,B
149,11,1941,19,237,commercial,fort,double,gaz,SO,75.2,11205,B
185,6,1981,15,20,industriel,faible,simple,gaz,O,112.8,20868,C
92,11,1949,20,92,commercial,fort,simple,elec,S,88.3,8124,B
437,13,2020,9,138,industriel,faible,triple,gaz,S,45.8,20015,A
